Student_ID,Age,Gender,College_Tier,City_Type,Monthly_Allowance,Has_Part_Time_Job,Uses_Finance_App,Top_3_Money_Challenges
1,23,Non-binary,Tier 2,Rural=COUNTIF(,7000,No,Splitwise,"Peer pressure spending, No financial knowledge, Saving"
2,18,#N/A,Tier 3,Rural,8000,Yes,None,"Loans, Rent sharing, No bank account"
3,18,F,Tier 2,Semi-urban,3000,No,Cred,"Loans, Rent sharing, No bank account"
4,23,F,Tier 1,Rural,5000,No,Jupiter,"Loans, Rent sharing, No bank account"
5,20,F,Tier 2,Rural,7000,Yes,Splitwise,"Loans, Rent sharing, No bank account"
6,19,Non-binary,Tier 1,Urban,2000,Yes,Jupiter,"Tracking expenses, Overspending, Emergency funds"
7,19,Non-binary,Tier 2,Urban,7000,No,Cred,"Lack of tools, Parental dependency, Side income"
8,19,F,Tier 2,Rural,2000,No,Splitwise,"Loans, Rent sharing, No bank account"
9,23,F,Tier 3,Rural,2000,No,Jupiter,"Peer pressure spending, No financial knowledge, Saving"
10,18,M,Tier 2,Urban,3000,Yes,Cred,"Budgeting, Saving, Loans"
11,23,M,Tier 2,Rural,5000,No,Walnut,"Budgeting, Saving, Loans"
12,23,F,Tier 3,Semi-urban,2000,No,Splitwise,"Peer pressure spending, No financial knowledge, Saving"
13,22,F,Tier 1,Rural,3000,No,Jupiter,"Peer pressure spending, No financial knowledge, Saving"
14,18,M,Tier 2,Rural,6000,No,Cred,"Peer pressure spending, No financial knowledge, Saving"
15,22,F,Tier 3,Semi-urban,3000,No,Walnut,"Lack of tools, Parental dependency, Side income"
16,21,Non-binary,Tier 1,Urban,6000,Yes,Splitwise,"Budgeting, Saving, Loans"
17,18,Non-binary,Tier 2,Rural,7000,Yes,Walnut,"Lack of tools, Parental dependency, Side income"
18,18,Non-binary,Tier 2,Urban,5000,Yes,None,"Loans, Rent sharing, No bank account"
19,18,F,Tier 2,Urban,2000,No,Splitwise,"Budgeting, Saving, Loans"
20,19,F,Tier 1,Rural,2000,No,Cred,"Peer pressure spending, No financial knowledge, Saving"
21,19,M,Tier 1,Rural,7000,No,Cred,"Lack of tools, Parental dependency, Side income"
22,22,F,Tier 2,Urban,4000,No,Splitwise,"Tracking expenses, Overspending, Emergency funds"
23,22,F,Tier 2,Rural,8000,No,None,"Budgeting, Saving, Loans"
24,18,M,Tier 1,Rural,2000,Yes,Splitwise,"Peer pressure spending, No financial knowledge, Saving"
25,22,F,Tier 3,Urban,8000,Yes,Jupiter,"Peer pressure spending, No financial knowledge, Saving"
26,19,M,Tier 1,Urban,5000,No,Cred,"Loans, Rent sharing, No bank account"
27,23,F,Tier 3,Semi-urban,7000,Yes,Walnut,"Lack of tools, Parental dependency, Side income"
28,23,F,Tier 3,Rural,3000,No,Cred,"Loans, Rent sharing, No bank account"
29,23,F,Tier 3,Semi-urban,5000,No,None,"Tracking expenses, Overspending, Emergency funds"
30,22,F,Tier 2,Urban,2000,No,Splitwise,"Tracking expenses, Overspending, Emergency funds"
31,21,Non-binary,Tier 2,Rural,3000,Yes,Cred,"Loans, Rent sharing, No bank account"
32,19,Non-binary,Tier 3,Urban,5000,Yes,Jupiter,"Budgeting, Saving, Loans"
33,21,F,Tier 3,Rural,2000,Yes,None,"Budgeting, Saving, Loans"
34,22,Non-binary,Tier 3,Rural,7000,No,None,"Loans, Rent sharing, No bank account"
35,20,M,Tier 1,Semi-urban,8000,No,Walnut,"Loans, Rent sharing, No bank account"
36,24,Non-binary,Tier 2,Urban,2000,Yes,Cred,"Budgeting, Saving, Loans"
37,24,M,Tier 3,Rural,2000,Yes,Splitwise,"Lack of tools, Parental dependency, Side income"
38,18,M,Tier 3,Semi-urban,4000,Yes,None,"Loans, Rent sharing, No bank account"
39,24,M,Tier 1,Urban,4000,Yes,Jupiter,"Peer pressure spending, No financial knowledge, Saving"
40,24,Non-binary,Tier 2,Semi-urban,4000,Yes,Jupiter,"Lack of tools, Parental dependency, Side income"
41,19,F,Tier 3,Urban,3000,Yes,Splitwise,"Loans, Rent sharing, No bank account"
42,23,F,Tier 2,Rural,5000,Yes,Jupiter,"Peer pressure spending, No financial knowledge, Saving"
43,21,Non-binary,Tier 3,Semi-urban,8000,Yes,Walnut,"Peer pressure spending, No financial knowledge, Saving"
44,20,M,Tier 1,Semi-urban,8000,No,Splitwise,"Loans, Rent sharing, No bank account"
45,20,Non-binary,Tier 1,Rural,8000,Yes,Jupiter,"Loans, Rent sharing, No bank account"
46,19,F,Tier 2,Urban,8000,No,Walnut,"Loans, Rent sharing, No bank account"
47,19,Non-binary,Tier 1,Rural,3000,Yes,Jupiter,"Peer pressure spending, No financial knowledge, Saving"
48,24,Non-binary,Tier 2,Semi-urban,7000,No,Cred,"Tracking expenses, Overspending, Emergency funds"
49,20,F,Tier 3,Rural,7000,No,Splitwise,"Loans, Rent sharing, No bank account"
50,18,F,Tier 1,Semi-urban,3000,No,Jupiter,"Loans, Rent sharing, No bank account"
51,18,M,Tier 3,Rural,2000,No,Jupiter,"Lack of tools, Parental dependency, Side income"
52,21,M,Tier 3,Urban,6000,Yes,Walnut,"Loans, Rent sharing, No bank account"
53,18,F,Tier 1,Semi-urban,6000,Yes,Cred,"Lack of tools, Parental dependency, Side income"
54,20,M,Tier 1,Semi-urban,2000,Yes,Cred,"Lack of tools, Parental dependency, Side income"
55,24,F,Tier 1,Urban,6000,No,Walnut,"Tracking expenses, Overspending, Emergency funds"
56,20,Non-binary,Tier 3,Rural,7000,No,Cred,"Loans, Rent sharing, No bank account"
57,22,M,Tier 2,Urban,3000,No,Jupiter,"Tracking expenses, Overspending, Emergency funds"
58,20,F,Tier 2,Rural,5000,Yes,Jupiter,"Peer pressure spending, No financial knowledge, Saving"
59,24,Non-binary,Tier 3,Urban,4000,No,Cred,"Tracking expenses, Overspending, Emergency funds"
60,18,Non-binary,Tier 3,Urban,7000,No,Jupiter,"Budgeting, Saving, Loans"
61,23,F,Tier 3,Semi-urban,3000,No,Cred,"Budgeting, Saving, Loans"
62,21,F,Tier 1,Semi-urban,7000,Yes,Walnut,"Budgeting, Saving, Loans"
63,22,Non-binary,Tier 2,Rural,7000,No,Splitwise,"Lack of tools, Parental dependency, Side income"
64,18,Non-binary,Tier 2,Urban,3000,Yes,Walnut,"Budgeting, Saving, Loans"
65,21,F,Tier 2,Rural,5000,No,Splitwise,"Tracking expenses, Overspending, Emergency funds"
66,18,F,Tier 2,Urban,6000,Yes,Walnut,"Loans, Rent sharing, No bank account"
67,22,Non-binary,Tier 2,Urban,7000,No,None,"Lack of tools, Parental dependency, Side income"
68,20,Non-binary,Tier 2,Semi-urban,5000,Yes,Jupiter,"Lack of tools, Parental dependency, Side income"
69,24,F,Tier 3,Urban,8000,Yes,Walnut,"Budgeting, Saving, Loans"
70,23,F,Tier 3,Semi-urban,3000,Yes,Splitwise,"Peer pressure spending, No financial knowledge, Saving"
71,22,Non-binary,Tier 1,Semi-urban,2000,Yes,Cred,"Peer pressure spending, No financial knowledge, Saving"
72,24,F,Tier 3,Urban,2000,Yes,Cred,"Loans, Rent sharing, No bank account"
73,20,F,Tier 3,Urban,3000,Yes,Walnut,"Tracking expenses, Overspending, Emergency funds"
74,22,F,Tier 2,Rural,8000,No,Walnut,"Budgeting, Saving, Loans"
75,19,F,Tier 1,Rural,2000,No,Walnut,"Tracking expenses, Overspending, Emergency funds"
76,23,M,Tier 2,Rural,6000,Yes,Cred,"Peer pressure spending, No financial knowledge, Saving"
77,18,M,Tier 1,Semi-urban,7000,Yes,None,"Peer pressure spending, No financial knowledge, Saving"
78,18,Non-binary,Tier 3,Semi-urban,5000,No,Walnut,"Budgeting, Saving, Loans"
79,23,M,Tier 3,Semi-urban,4000,Yes,Cred,"Peer pressure spending, No financial knowledge, Saving"
80,19,F,Tier 2,Semi-urban,5000,Yes,Cred,"Peer pressure spending, No financial knowledge, Saving"
81,24,M,Tier 2,Semi-urban,4000,Yes,Walnut,"Loans, Rent sharing, No bank account"
82,20,Non-binary,Tier 2,Semi-urban,8000,Yes,Splitwise,"Loans, Rent sharing, No bank account"
83,18,Non-binary,Tier 3,Urban,3000,No,Splitwise,"Peer pressure spending, No financial knowledge, Saving"
84,24,Non-binary,Tier 3,Rural,3000,No,Jupiter,"Budgeting, Saving, Loans"
85,19,M,Tier 3,Rural,4000,No,Cred,"Budgeting, Saving, Loans"
86,24,M,Tier 1,Rural,7000,No,Jupiter,"Peer pressure spending, No financial knowledge, Saving"
87,18,M,Tier 2,Urban,2000,No,Jupiter,"Peer pressure spending, No financial knowledge, Saving"
88,21,Non-binary,Tier 1,Rural,3000,No,Splitwise,"Lack of tools, Parental dependency, Side income"
89,20,F,Tier 3,Semi-urban,6000,No,Splitwise,"Loans, Rent sharing, No bank account"
90,21,F,Tier 3,Urban,6000,No,None,"Loans, Rent sharing, No bank account"
91,23,Non-binary,Tier 1,Urban,6000,Yes,Cred,"Budgeting, Saving, Loans"
92,24,Non-binary,Tier 2,Rural,7000,No,None,"Tracking expenses, Overspending, Emergency funds"
93,20,Non-binary,Tier 2,Semi-urban,6000,No,Walnut,"Tracking expenses, Overspending, Emergency funds"
